train_loss,train_accuracy,epoch,step
4.507453918457031,0.0050223213620483875,0,0
3.5340795516967773,0.7455357313156128,0,1
2.735698938369751,0.7531938552856445,0,2
2.101104497909546,0.7693056464195251,0,3
1.7062458992004395,0.7633810043334961,0,4
1.5097202062606812,0.7502374649047852,0,5
1.3118642568588257,0.7624430060386658,0,6
1.24558424949646,0.7604601979255676,0,7
1.1583939790725708,0.7724045515060425,0,8
1.1343857049942017,0.7751116156578064,0,9
1.1233001947402954,0.7733662724494934,0,10
1.132091999053955,0.7705167531967163,0,11
1.1148561239242554,0.7705286145210266,0,12
1.1452040672302246,0.7615762948989868,0,13
