train_loss,train_accuracy,epoch,step,test_loss,test_accuracy
4.498022079467773,0.005651596002280712,0,0,,
3.6288113594055176,0.7428998947143555,0,1,,
2.9098024368286133,0.7427455186843872,0,2,,
2.335575580596924,0.7448470592498779,0,3,,
1.8707008361816406,0.7592491507530212,0,4,,
1.6289665699005127,0.7481240630149841,0,5,,
1.4031579494476318,0.7594984769821167,0,6,,
1.1931017637252808,0.7836958765983582,0,7,,
1.2031903266906738,0.766135573387146,0,8,,
1.1322447061538696,0.7749572396278381,0,9,,
1.1614773273468018,0.7631197571754456,0,10,,
1.1653950214385986,0.7580143809318542,0,11,,
1.1216870546340942,0.7640458941459656,0,12,,
1.1116515398025513,0.7628348469734192,0,13,,
1.1317102909088135,0.7545474171638489,0,14,,
1.0516300201416016,0.7668716907501221,0,15,,
1.0330089330673218,0.7675484418869019,0,16,,
0.9992923736572266,0.7700536847114563,0,17,,
0.949169397354126,0.7786853909492493,0,18,,
0.9267085790634155,0.7835177779197693,0,19,,
0.9830707311630249,0.769163191318512,0,20,,
0.9518611431121826,0.7741855382919312,0,21,,
0.9688909649848938,0.7698280811309814,0,22,,
0.8768819570541382,0.7855480909347534,0,23,,
0.8988478779792786,0.7763464450836182,0,24,,
0.8735768795013428,0.7778780460357666,0,25,,
0.8589493036270142,0.7801695466041565,0,26,,
0.9188840985298157,0.765577495098114,0,27,,
0.8921168446540833,0.7727607488632202,0,28,,
0.8544790148735046,0.7833515405654907,0,29,,
0.8833228349685669,0.7772012948989868,0,30,,
0.8311561942100525,0.7918407917022705,0,31,,
0.828289806842804,0.7929925322532654,0,32,,
0.8084468841552734,0.7986322045326233,0,33,,
0.8786322474479675,0.7816774249076843,0,34,,
0.8502544164657593,0.7889556288719177,0,35,,
0.7977608442306519,0.8018617033958435,0,36,,
0.7722882628440857,0.80813068151474,0,37,,
0.8262555599212646,0.7921257615089417,0,38,,
0.7867020964622498,0.8009949922561646,0,39,,
0.7769786715507507,0.8018854856491089,0,40,,
0.7488349676132202,0.8087124824523926,0,41,,
0.7640122771263123,0.8023366332054138,0,42,,
0.7767121195793152,0.7983472943305969,0,43,,
